City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Name,Date
0,sitka,57.0531,-135.33,57.09,97,100,6.71,US,1660532104
1,pipri,19.8,75.5333,73.98,88,75,6.91,IN,1660532104
2,cayenne,4.9333,-52.3333,81.09,1,100,1.14,GF,1660532105
3,esperance,-33.8667,121.9,61.57,57,0,14.0,AU,1660532106
4,hobart,-42.8794,147.3294,53.22,95,75,12.66,AU,1660531832
5,punta arenas,-53.15,-70.9167,37.51,87,40,10.36,CL,1660531929
6,geraldton,-28.7667,114.6,66.61,72,4,16.11,AU,1660532107
7,lompoc,34.6391,-120.4579,59.23,88,100,11.5,US,1660532107
8,meiganga,6.5167,14.3,63.9,98,100,7.76,CM,1660532108
9,rikitea,-23.1203,-134.9692,73.74,77,0,17.47,PF,1660532108
10,ponta do sol,32.6667,-17.1,70.43,76,0,1.48,PT,1660532109
11,butaritari,3.0707,172.7902,81.97,76,31,13.27,KI,1660532109
12,mount isa,-20.7333,139.5,73.17,15,6,9.22,AU,1660532110
13,fairbanks,64.8378,-147.7164,64.96,69,75,6.91,US,1660532017
14,burriana,39.889,-0.085,77.11,38,0,6.82,ES,1660532111
15,harper,4.375,-7.7169,73.92,88,100,12.06,LR,1660532111
16,lebu,-37.6167,-73.65,44.74,78,31,10.0,CL,1660532112
17,port alfred,-33.5906,26.891,55.45,63,96,24.38,ZA,1660532112
18,piacabucu,-10.4056,-36.4344,71.58,89,38,8.99,BR,1660532113
19,marsa matruh,31.3525,27.2453,73.6,83,20,5.75,EG,1660532113
20,pokrovsk,48.282,37.1758,77.13,27,81,15.48,UA,1660532114
21,ushuaia,-54.8,-68.3,35.26,87,75,4.61,AR,1660531824
22,georgetown,5.4112,100.3354,85.21,76,20,10.36,MY,1660531816
23,belis,46.65,23.0333,54.86,85,100,1.92,RO,1660532115
24,port elizabeth,-33.918,25.5701,48.4,90,20,11.5,ZA,1660531937
25,saldanha,-33.0117,17.9442,41.05,75,4,5.48,ZA,1660532116
